Period(zeta=0.02)	SPA	SPV	SPD	SPE	SPT
0.013	0.212789	0	0	0	0	
0.0151001	0.213374	0	0	0	0	
0.0175395	0.213987	0	0	0	0	
0.0203729	0.213774	0	0	0	0	
0.0236641	0.213663	0	0	0	0	
0.0274869	0.215584	0	0	0	0	
0.0319273	0.224173	0	0	0	0	
0.037085	0.217156	0	0	0	0	
0.0430759	0.24531	0	0	0	0	
0.0500347	0.247987	0	0	0	0	
0.0581176	0.265284	0	0	0	0	
0.0675063	0.318411	0	0	0	0	
0.0784116	0.330367	0	0	0	0	
0.0910787	0.413172	0	0	0	0	
0.105792	0.549699	0	0	0	0	
0.122882	0.546471	0	0	0	0	
0.142734	0.534601	0	0	0	0	
0.165792	0.762439	0	0	0	0	
0.192575	0.897876	0	0	0	0	
0.223684	0.571836	0	0	0	0	
0.25982	0.487017	0	0	0	0	
0.301793	0.501886	0	0	0	0	
0.350546	0.593176	0	0	0	0	
0.407175	0.488854	0	0	0	0	
0.472953	0.912007	0	0	0	0	
0.549356	0.704723	0	0	0	0	
0.638103	0.723504	0	0	0	0	
0.741186	0.530246	0	0	0	0	
0.860922	0.497876	0	0	0	0	
1	0.483662	0	0	0	0	
1.16667	0.52021	0	0	0	0	
1.33333	0.699643	0	0	0	0	
1.5	0.469929	0	0	0	0	
1.66667	0.285879	0	0	0	0	
1.83333	0.23119	0	0	0	0	
2	0.241492	0	0	0	0	
2.16667	0.25519	0	0	0	0	
2.33333	0.246526	0	0	0	0	
2.5	0.143371	0	0	0	0	
2.66667	0.130573	0	0	0	0	
2.83333	0.1188	0	0	0	0	
3	0.10889	0	0	0	0	
3.16667	0.103061	0	0	0	0	
3.33333	0.102881	0	0	0	0	
3.5	0.0940154	0	0	0	0	
3.66667	0.0937651	0	0	0	0	
3.83333	0.0932942	0	0	0	0	
4	0.0892659	0	0	0	0	
4.16667	0.0841653	0	0	0	0	
4.33333	0.0790076	0	0	0	0	
4.5	0.0737139	0	0	0	0	
4.66667	0.0708276	0	0	0	0	
4.83333	0.068712	0	0	0	0	
5	0.0660681	0	0	0	0	
5.16667	0.0627206	0	0	0	0	
5.33333	0.0594223	0	0	0	0	
5.5	0.0586909	0	0	0	0	
5.66667	0.0638803	0	0	0	0	
5.83333	0.0717903	0	0	0	0	
6	0.0759015	0	0	0	0	
