time	acc	vel	disp
0	1.14236e-005	0	0
0.005	1.6797e-005	7.05514e-008	1.76379e-010
0.01	2.23406e-005	1.68396e-007	7.73746e-010
0.015	2.80247e-005	2.94309e-007	1.93051e-009
0.02	3.39025e-005	4.49127e-007	3.78909e-009
0.025	3.99091e-005	6.33656e-007	6.49605e-009
0.03	4.60779e-005	8.48623e-007	1.02017e-008
0.035	5.23883e-005	1.09479e-006	1.50603e-008
0.04	5.8878e-005	1.37295e-006	2.12296e-008
0.045	6.54372e-005	1.68374e-006	2.88714e-008
0.05	7.20977e-005	2.02758e-006	3.81497e-008
0.055	7.8792e-005	2.4048e-006	4.92306e-008
0.06	8.55894e-005	2.81576e-006	6.2282e-008
0.065	9.24269e-005	3.2608e-006	7.74734e-008
0.07	9.9414e-005	3.7404e-006	9.49764e-008
0.075	0.00010661	4.25546e-006	1.14966e-007
0.08	0.000114182	4.80744e-006	1.37623e-007
0.085	0.000122149	5.39827e-006	1.63138e-007
0.09	0.000130712	6.03042e-006	1.91709e-007
0.095	0.000139897	6.70694e-006	2.23553e-007
0.1	0.000149913	7.43147e-006	2.58899e-007
0.105	0.00016081	8.20827e-006	2.97998e-007
0.11	0.000172667	9.04197e-006	3.41124e-007
0.115	0.000185287	9.93685e-006	3.88571e-007
0.12	0.000198371	1.0896e-005	4.40653e-007
0.125	0.000211352	1.19203e-005	4.97694e-007
0.13	0.000223804	1.30082e-005	5.60015e-007
0.135	0.000235209	1.41557e-005	6.27925e-007
0.14	0.00024524	1.53569e-005	7.01706e-007
0.145	0.000253567	1.66039e-005	7.81608e-007
0.15	0.000260015	1.78878e-005	8.67837e-007
0.155	0.000264429	1.91989e-005	9.60554e-007
0.16	0.000266819	2.05271e-005	1.05987e-006
0.165	0.000266989	2.18616e-005	1.16584e-006
0.17	0.00026499	2.31915e-005	1.27847e-006
0.175	0.000260977	2.45064e-005	1.39772e-006
0.18	0.000255278	2.57971e-005	1.52348e-006
0.185	0.000248056	2.70554e-005	1.65561e-006
0.19	0.000239465	2.82742e-005	1.79393e-006
0.195	0.000229406	2.94464e-005	1.93823e-006
0.2	0.000217756	3.05643e-005	2.08826e-006
0.205	0.000204011	3.16187e-005	2.24372e-006
0.21	0.000187774	3.25982e-005	2.40426e-006
0.215	0.000168427	3.34887e-005	2.56948e-006
0.22	0.000145504	3.42735e-005	2.73888e-006
0.225	0.000119481	3.4936e-005	2.91191e-006
0.23	9.32717e-005	3.54679e-005	3.08792e-006
0.235	7.10148e-005	3.58786e-005	3.26628e-006
0.24	5.72679e-005	3.61993e-005	3.44648e-006
0.245	5.5706e-005	3.64817e-005	3.62818e-006
0.25	6.92873e-005	3.67942e-005	3.81137e-006
0.255	0.000101485	3.72211e-005	3.99641e-006
0.26	0.000160767	3.78768e-005	4.18415e-006
0.265	0.000258908	3.8926e-005	4.37616e-006
0.27	0.000407846	4.05928e-005	4.57496e-006
0.275	0.000613983	4.31474e-005	4.78431e-006
0.28	0.000874885	4.68696e-005	5.00935e-006
0.285	0.00118092	5.20091e-005	5.25655e-006
0.29	0.0015206	5.87629e-005	5.53348e-006
0.295	0.00188224	6.727e-005	5.84856e-006
0.3	0.00225712	7.76184e-005	6.21078e-006
0.305	0.00262313	8.98191e-005	6.62937e-006
0.31	0.00294306	0.000103735	7.11326e-006
0.315	0.00318025	0.000119043	7.6702e-006
0.32	0.00330536	0.000135257	8.30595e-006
0.325	0.00330123	0.000151773	9.02353e-006
0.33	0.00316349	0.000167935	9.8228e-006
0.335	0.00289844	0.00018309	1.07004e-005
0.34	0.00252169	0.00019664	1.16497e-005
0.345	0.00205366	0.000208079	1.26615e-005
0.35	0.0015157	0.000217002	1.37242e-005
0.355	0.000925495	0.000223105	1.48245e-005
0.36	0.000295837	0.000226158	1.59476e-005
0.365	-0.000367619	0.000225979	1.7078e-005
0.37	-0.00106493	0.000222397	1.81989e-005
