Period(zeta=0.05)	SPA	SPV	SPD	SPE	SPT
0.05	1.62568	0	0	0	1.625	
0.0554413	1.73251	0	0	0	1.69302	
0.0614747	1.77695	0	0	0	1.76843	
0.0681647	1.81795	0	0	0	1.85206	
0.0755827	1.9249	0	0	0	1.94478	
0.083808	2.05466	0	0	0	2.0476	
0.0929284	2.1625	0	0	0	2.16161	
0.103041	2.24017	0	0	0	2.25	
0.114255	2.2386	0	0	0	2.25	
0.126689	2.26102	0	0	0	2.25	
0.140476	2.24969	0	0	0	2.25	
0.155763	2.25873	0	0	0	2.25	
0.172714	2.25091	0	0	0	2.25	
0.19151	2.27715	0	0	0	2.25	
0.212351	2.25982	0	0	0	2.25	
0.23546	2.19697	0	0	0	2.25	
0.261084	2.2855	0	0	0	2.25	
0.289496	2.24915	0	0	0	2.25	
0.321001	2.2732	0	0	0	2.25	
0.355934	2.24503	0	0	0	2.25	
0.394668	2.20404	0	0	0	2.25	
0.437618	2.22894	0	0	0	2.25	
0.485242	2.08755	0	0	0	2.10238	
0.538048	1.81192	0	0	0	1.91573	
0.596602	1.6921	0	0	0	1.74565	
0.661527	1.5364	0	0	0	1.59067	
0.733518	1.34633	0	0	0	1.44945	
0.813343	1.32856	0	0	0	1.32077	
0.901855	1.28113	0	0	0	1.20351	
1	1.0793	0	0	0	1.09666	
1.16667	0.887725	0	0	0	0.954601	
1.33333	0.911149	0	0	0	0.846504	
1.5	0.764042	0	0	0	0.761363	
1.66667	0.667043	0	0	0	0.692484	
1.83333	0.664504	0	0	0	0.63556	
2	0.599605	0	0	0	0.587688	
2.16667	0.51503	0	0	0	0.546841	
2.33333	0.514647	0	0	0	0.524829	
2.5	0.54015	0	0	0	0.517329	
2.66667	0.511986	0	0	0	0.509829	
2.83333	0.520446	0	0	0	0.502329	
3	0.519473	0	0	0	0.494829	
3.16667	0.514881	0	0	0	0.487329	
3.33333	0.491087	0	0	0	0.479829	
3.5	0.473046	0	0	0	0.472329	
3.66667	0.462923	0	0	0	0.464829	
3.83333	0.454506	0	0	0	0.457329	
4	0.44824	0	0	0	0.449829	
4.16667	0.439157	0	0	0	0.442329	
4.33333	0.424313	0	0	0	0.434829	
4.5	0.412239	0	0	0	0.427329	
4.66667	0.401734	0	0	0	0.419829	
4.83333	0.395718	0	0	0	0.412329	
5	0.389303	0	0	0	0.404829	
5.16667	0.380148	0	0	0	0.397329	
5.33333	0.370776	0	0	0	0.389829	
5.5	0.359868	0	0	0	0.382329	
5.66667	0.347217	0	0	0	0.374829	
5.83333	0.331819	0	0	0	0.367329	
6	0.315714	0	0	0	0.359829	
